Search for Room,,,,,,,,,,
Room Capacity,None,2 People,3-5,6+,,,,,,
Speed Restrictions,None,1 +,2 +,3 +,4 Only,,,,,
Communication Speed,Anyone,1 +,2 +,3 +,4 Only,,,,,
Network Restrictions,None,Similar Level,,,,,,,,
Rounds for Victory,Any,Best of 1,Best of 3,Best of 5,,,,,,
Keyword,,,,,,,,,,
Hardware,Any,Same as you,,,,,,,,
Allow Share Functions,Any,Allow,Not Allowed,,,,,,,,
Room Direction,Any,All-Out Battle,Casual Battle,Practice,,,,,,,
Room Type,Battle,Online Training,,,,,,,,
Revert to Defaults,,,,,,,,,,





